Data Source,System/Platform,Access Method,Data Format,Authentication Required,Rate Limits or Pagination,Data Quality Notes,Which Workflow Steps Use This Source,API Documentation URL,Notes
CRM — account metadata,Salesforce,"REST API (Salesforce REST API — query account object by account ID, retrieve fields: ARR, contract dates, tier, key contacts, recent activity log)",JSON,OAuth token (connected app with refresh token flow),"Salesforce API: 100K requests/day for Enterprise edition. Single account query is one API call — well within limits. Pagination not needed for single-account retrieval.","Account data is generally reliable and up-to-date as CSMs maintain it. Potential gaps: key contacts list may be stale if the CSM hasn't updated it after an org change. Contract dates are authoritative. Recent activity log may not capture all touchpoints if CSMs log inconsistently.","Steps 1, 8, 9","(org-specific Salesforce API docs)","Need account-level read permissions at minimum. The connected app must have the correct OAuth scopes for account object access. Contract renewal date from this source is critical for risk assessment in Step 8."
Support platform — ticket history,Zendesk,"REST API (Zendesk Search API — query tickets by account/organisation ID and created_at date range, retrieve: status, severity/priority, resolution time, first response time, CSAT rating)",JSON,API key (Zendesk API token or OAuth token),"Zendesk API: rate limit of 400 requests per minute. For accounts with high ticket volumes (>500 tickets/quarter), results will be paginated — implement cursor-based pagination. Each page returns up to 100 results.","Ticket data is structured and reliable. Known gaps: CSAT scores are only present on tickets where the customer completed the survey (typically 30-40% response rate) — do not treat absence of CSAT as negative. Resolution time may be skewed by tickets reopened after initial closure. Severity classifications (P1-P4) depend on consistent triage by the support team.","Steps 2, 6","(org-specific Zendesk API docs)","Filter by account/organisation ID + date range for the quarter. Need to handle the CSAT response rate gap explicitly — report CSAT on responded tickets only, with response rate noted. P1-P4 severity levels must match the SLA benchmark config."
Product usage data,Mixpanel,"REST API (Mixpanel Engage API or JQL for user-level queries, or Export API for raw event data) or data warehouse query (if usage data is replicated to a warehouse like BigQuery or Snowflake)","JSON (API) or CSV (warehouse export)",API key (Mixpanel project API secret) or database credentials (for warehouse),"Mixpanel Export API: rate limit varies by plan — typically 60 requests per hour for raw export. JQL queries: 2 concurrent queries, 5 per minute. Data warehouse queries: depends on warehouse plan and query complexity. For high-volume accounts, prefer warehouse over API.","Usage data accuracy depends on event instrumentation. Known issues: feature adoption metrics may undercount if features were instrumented after launch (historical gap). DAU/MAU ratio can be noisy for accounts with seasonal usage patterns. API call volume is authoritative from server-side logging. Error rates may include both client-side and server-side errors — clarify which is captured.","Steps 3, 7","(org-specific Mixpanel or warehouse docs)","May need custom extraction logic depending on how usage data is stored. If using data warehouse, ensure the replication pipeline is current (check last sync timestamp). Feature adoption percentage requires a defined list of ""core features"" per tier — this should be in config alongside tier benchmarks."
Slack — customer communications,Slack,"Slack API (search.messages endpoint — search by account name and key contact names across relevant channels)",JSON,Bot token (Slack bot token with search:read scope and channels:history scope for relevant channels),"Slack API: search.messages is rate-limited to 20 requests per minute (Tier 2). Results are paginated with up to 100 messages per page. For active accounts, expect 3-10 pages of results requiring sequential pagination calls with backoff.","Slack data is inherently noisy. Search results will include false positives (account name appearing in unrelated contexts), off-topic messages in customer channels, internal side conversations, and automated bot messages. Signal-to-noise ratio varies significantly by account — active accounts with dedicated channels produce cleaner results than accounts discussed in shared channels. Messages may be edited or deleted after retrieval.","Steps 4, 5","(org-specific Slack API docs — search.messages endpoint)","The bot must be a member of all relevant channels to search them. If the bot lacks access to private channels where account discussions happen, results will be incomplete. Over-retrieve by design — filtering and interpretation happen in Step 5 (HIL). Consider caching search results to avoid re-querying during the same workflow run."
SLA benchmark targets,Internal config file,"File system read (load from config/scoring_rubric.yaml or equivalent structured config file, or retrieve from internal documentation system)",Structured text / JSON / YAML,File system access (no external auth — local or repo-hosted config file),"N/A — static file, no rate limits. File is read once at workflow start and cached for the duration of the run.","SLA benchmarks should be treated as authoritative if they are maintained by the support operations team. Risk: if the config file is outdated (e.g. SLA targets changed last quarter but config wasn't updated), the ticket health assessment in Step 6 will use stale thresholds. Verify last-modified date on config file and flag if >90 days old.","Steps 6, 9","N/A — internal file","Contains SLA response and resolution targets by severity level (P1-P4) and CSAT threshold. This is a candidate for externalisation as config in Stage 5 — define once, load at runtime, update without code changes. If this file doesn't exist yet, it must be created during Stage 5 build using the criteria captured in the Step 6 and Step 9 Decision Logic Detail columns."
Health scoring framework / tier benchmarks,Internal config file,"File system read (load from config/scoring_rubric.yaml — the same file as SLA benchmarks, or a separate config/tier_benchmarks.yaml)",Structured text / JSON / YAML,File system access (no external auth — local or repo-hosted config file),"N/A — static file, no rate limits. File is read once at workflow start and cached.","Scoring framework must be complete and internally consistent. Known risk: if different teams use slightly different definitions of Green/Amber/Red, the config must reflect the CSM team's agreed-upon version. Tier-specific benchmarks (DAU/MAU, feature adoption, API volume thresholds) must cover all tiers the account base includes — if a new tier is introduced, the config must be updated before the workflow runs.","Steps 7, 9","N/A — internal file","Contains Green/Amber/Red criteria across four dimensions (tickets, usage, sentiment, contract) and tier-specific engagement benchmarks (enterprise, mid-market, SMB). This is the second candidate for Stage 5 config externalisation. If the scoring framework changes frequently (e.g. quarterly revisions), it must be versioned and the workflow should log which version was used for each report."
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
