Field Name,Type,Category,Source (which action writes),Consumed By (which actions read),Reducer,Derived From (scope step Output column),Notes
account_id,str,Input,Caller (flow invocation),"gather_data; analyse_health; synthesise; generate_report",,Scope Step 1 Input: account identifier used to query all data sources,"Required input — the caller must supply this when invoking the flow"
account_name,str,Input,Caller (flow invocation),"analyse_health; synthesise; generate_report",,Scope Step 1 Input: human-readable account name used in report output and LLM prompts for context,"Used in prompt context so the LLM can reference the account by name in analysis and report text"
quarter,str,Input,Caller (flow invocation),gather_data,,Scope Step 1 Input: time period for the review,"Format: '2026-Q1'. Used to construct date ranges for API queries."
crm_data,dict,Gathered Data,gather_data,"analyse_health; synthesise; generate_report",,Scope Step 1 Output: account metadata from CRM (ARR / contract_end / renewal_date / account_tier / key contacts),"Single JSON object. Contains contract context used in synthesis and report generation. analyse_health uses account_tier for tier-contextualised evaluation."
tickets,list[dict] (append reducer),Gathered Data,gather_data,analyse_health,append (list accumulation),Scope Step 2 Output: support ticket records from the support API,"Reducer supports future fan-out if data gathering is split into parallel sub-actions. Each ticket dict contains fields like severity / status / created_date / resolution_time / CSAT."
usage_data,dict,Gathered Data,gather_data,analyse_health,,Scope Step 3 Output: product usage metrics (DAU/MAU / feature adoption rates / API error rates),"Single JSON object from usage data API. Contains quantitative metrics compared against tier benchmarks in analyse_health."
slack_threads,list[dict] (append reducer),Gathered Data,gather_data,analyse_health,append (list accumulation),Scope Step 4 Output: relevant Slack messages from customer channels,"Reducer supports future fan-out. Each thread dict contains message content / timestamp / participants / channel."
ticket_analysis,dict,Analysis,analyse_health,"synthesise; generate_report; hil_review_analysis (surfaced to human)",,Scope Step 6 Output: ticket health score with trend and findings,"JSON structure: {score: str / trend: str / volume_vs_previous_quarter: str / key_issues: [str] / sla_compliance: str / details: str}. Score set to 'Unknown' if upstream tickets field contains error marker."
usage_analysis,dict,Analysis,analyse_health,"synthesise; generate_report; hil_review_analysis (surfaced to human)",,Scope Step 7 Output: usage health score with trend and findings,"JSON structure: {score: str / trend: str / feature_adoption: str / details: str}. Score set to 'Unknown' if upstream usage_data field contains error marker."
sentiment_analysis,dict,Analysis,analyse_health,"synthesise; generate_report; hil_review_analysis (surfaced to human)",,Scope Step 5 Output: sentiment assessment from Slack thread analysis,"JSON structure: {score: str / summary: str / key_threads: [str]}. Assessed qualitatively from thread content — no config thresholds."
analysis_human_feedback,str (optional),Human Feedback,hil_review_analysis,"synthesise; analyse_health (on rework pass)",,HIL checkpoint 1: freeform human corrections / additions / context about the three analyses,"Feedback-as-Context pattern. None on first pass. When present the synthesise action's prompt injects this as additional context. On rework passes analyse_health also reads this to understand prior corrections."
report_human_feedback,str (optional),Human Feedback,hil_review_report,generate_report,,HIL checkpoint 2 (revise path): specific revision instructions for the report,"Written only when report_review_decision = 'revise'. The generate_report action includes these instructions in its prompt on revision passes."
rework_instructions,str (optional),Human Feedback,hil_review_report,analyse_health,,HIL checkpoint 2 (rework path): instructions for re-running the analysis from scratch,"Written only when report_review_decision = 'rework'. All three analyse_health prompts include these instructions as a focus-area section on rework passes."
report_review_decision,str (optional),Control Flow,hil_review_report,Routing function (conditional edge from hil_review_report),,"HIL checkpoint 2: structured decision determining flow routing","Constrained values: 'approved' | 'revise' | 'rework'. The routing function reads this field and returns the target action. An error is raised on unrecognised values to prevent silent misrouting."
risks,list[dict],Synthesis,synthesise,"generate_report; hil_review_report (surfaced to human)",,Scope Step 8 Output: identified risks with severity and mitigation,"Each dict: {risk: str / severity: str / evidence: str / mitigation: str}. Derived from cross-referencing all three analyses plus CRM contract context."
opportunities,list[dict],Synthesis,synthesise,"generate_report; hil_review_report (surfaced to human)",,Scope Step 8 Output: identified expansion opportunities with evidence,"Each dict: {opportunity: str / evidence: str / next_step: str}. Derived from usage trends and contract context."
health_score,str,Synthesis,synthesise,"generate_report; hil_review_report (surfaced to human)",,Scope Step 9 Output: overall account health rating,"Constrained values: 'Green' / 'Amber' / 'Red'. Derived from the health_scoring section of the scoring rubric config applied to analysis outputs."
health_justification,str,Synthesis,synthesise,"generate_report; hil_review_report (surfaced to human)",,Scope Step 9 Output: narrative explanation supporting the health score,"Free-text justification citing evidence from each analysis dimension. Included in the report's Health Score section."
report_markdown,str,Output,generate_report,"hil_review_report (surfaced to human)",,Scope Step 10 Output: the full structured health report,"Markdown with seven sections: Account Overview / Ticket Health / Product Engagement / Sentiment / Risks & Opportunities / Health Score / Recommended Actions. Can be converted to other formats downstream."
exec_summary,str,Output,generate_report,"hil_review_report (surfaced to human)",,Scope Step 11 Output: 3-5 sentence executive summary of the report,"Plain text summary generated from the completed report_markdown. The LLM receives report_markdown as input to produce this."
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
