Step Number,Step Name,Action,Input,Output,Decision Logic Type,Decision Logic Detail,Boundary Tag,Boundary Rationale,Estimated Time (minutes),Systems Touched,Notes
1,Pull CRM account data,"Query CRM (e.g. Salesforce) for the account record using the account ID. Retrieve account metadata including ARR, contract dates, tier, key contacts, and recent activity log.",Account ID,"Account metadata (ARR, contract dates, tier, key contacts, recent activity log)",None,"None — data retrieval. Query CRM using account ID to retrieve a single structured record. No transformation or interpretation required.",AUTOMATE,"Pure data retrieval — no judgement involved. If the API call succeeds, you have the data. If it fails, you have an error to handle. No ambiguity, no interpretation, no risk of the agent making a wrong call.",5,Salesforce (CRM),"Error path: If API unavailable, flag gap in report and continue with other sources. If account ID not found, halt and alert operator."
2,Pull support ticket history,"Export all support tickets for the account within the quarterly date range. Retrieve ticket list including status, severity, resolution time, and CSAT scores.","Account ID, date range (quarter start and end dates)","Ticket list with status, severity, resolution time, CSAT scores per ticket",None,"None — data retrieval. Filter tickets by account ID and date range. No transformation, no interpretation — the system returns a complete list or an empty result.",AUTOMATE,"Pure data retrieval with deterministic query parameters (account ID + date range). No judgement required — the API returns a complete ticket list or an error.",5,Zendesk (Support platform),"Error path: If API unavailable, flag gap in report and continue with other sources. If empty result, verify date range is correct and note ""no tickets filed this quarter"" — do not infer anything from absence of tickets."
3,Pull product usage metrics,"Access the product analytics platform API or data warehouse. Query for account-level usage statistics within the quarterly date range including active users, feature adoption rates, API call volume, and error rates.","Account ID, date range (quarter start and end dates)","Usage stats: active users, DAU/MAU ratio, feature adoption percentage, API call volume, error rates",None,"None — data retrieval. Query usage API or data warehouse for account-level metrics within the date range. May require multiple API calls if metrics are spread across endpoints.",AUTOMATE,"Pure data retrieval. Usage metrics are numerical and unambiguous — the system returns them or it doesn't. No interpretation required at this stage.",5,Mixpanel (Product analytics),"Error path: If API or data warehouse unavailable, flag gap in report and continue. May need custom extraction logic depending on data warehouse setup. Pagination may be required for high-volume accounts."
4,Pull recent Slack/comms context,"Search Slack channels for mentions of the account name and key contact names. Retrieve all matching message threads from the quarter. Cast a wide net — over-retrieve rather than miss relevant context.","Account name, key contact names (from Step 1 output)",Relevant Slack message threads mentioning the account or its contacts,None,"None — search and retrieve. Use account name and key contact names as search queries against Slack API search.messages endpoint. No filtering or interpretation at this stage — retrieval only.",AUTOMATE,"Pure search and retrieval. The agent uses account name and contact names as search terms. Results will contain noise, but filtering and interpretation happen in the next step (Step 5). No judgement applied here.",10,Slack,"Error path: If Slack API rate-limited, implement pagination with backoff and retry. If no results found, note ""no Slack activity for this account this quarter"" rather than omitting. Over-retrieve to ensure coverage — the human filters in Step 5."
5,Review Slack context for sentiment signals,"Read through all retrieved Slack threads. Assess the overall tone of customer communications. Identify explicit complaints, escalation language, positive signals, and unresolved concerns. Produce an annotated sentiment summary with supporting quotes.",Slack message threads from Step 4,"Annotated sentiment summary: overall tone (positive / neutral / negative / mixed), key quotes, unresolved concerns, sentiment trend direction",Contextual judgement,"Read threads and assess tone — is the customer happy, frustrated, or neutral? Look for explicit complaints (""this is broken"", ""unacceptable""), escalation language (""we need to talk"", ""escalating this""), positive signals (""love the new feature"", ""great support response""), and unresolved concerns that received no response. Consider thread context: who is speaking (champion vs. detractor vs. end-user), whether concerns received timely responses, recency of sentiment shifts (last 30 days weighted more heavily), and volume of communication (silence can signal disengagement). The agent summarises threads and proposes a sentiment reading; the human validates using relationship context the agent cannot access.",HUMAN-IN-THE-LOOP,"Slack conversations contain sarcasm, inside jokes, off-topic tangents, and genuine product complaints mixed together. An LLM can summarise threads and propose a sentiment reading, but the CSM knows the relationship context that determines whether ""we need to talk about the roadmap"" is a routine quarterly planning request or a veiled threat to churn. The agent does the heavy lifting (summarise, propose); the human validates.",20,Slack (output from Step 4),"Error path: If no relevant threads found, mark sentiment as ""insufficient data"" rather than guessing neutral. If threads are ambiguous or contradictory, present both interpretations and flag for human resolution. The agent should surface direct quotes to support its proposed sentiment reading."
6,Assess ticket health,"Analyse ticket volume trends, severity distribution, resolution times vs SLA targets, and CSAT scores. Compare this quarter against the prior quarter. Produce a ticket health assessment with a clear improving/stable/degrading rating and supporting evidence.","Ticket data from Step 2, SLA benchmark targets (from config)","Ticket health assessment: rating (improving / stable / degrading), SLA compliance percentage, CSAT trend, key issues list, risk escalation flags",Criteria-based,"Evaluate first response time and resolution time against SLA targets by severity — P1: 30min response / 4hr resolution, P2: 2hr / 24hr, P3: 8hr / 72hr, P4: 24hr / 168hr. Flag if SLA compliance drops below 95% of tickets resolved within target. Flag if CSAT falls below 4.0/5. Compare ticket volume and average severity against prior quarter: a >20% volume increase or upward severity shift (e.g. average moving from Low to Medium/High) indicates degradation. If both volume and severity worsen simultaneously, escalate to the risk register. Classify overall ticket health as: Improving (volume down or SLA compliance up QoQ), Stable (all metrics within 10% of prior quarter), or Degrading (any flag triggered).",AUTOMATE (quantitative) / HUMAN-IN-THE-LOOP (edge cases),"Quantitative calculations (trend analysis, SLA compliance rates, CSAT averages) are deterministic and fully automatable — two agents given the same data would produce identical results. But interpretation of edge cases requires context the agent does not have. Example: a spike in ticket volume might look alarming, but the CSM knows it was caused by a planned migration and is therefore benign. The split boundary lets the agent handle the math while the human handles the meaning.",15,"Zendesk (output from Step 2), SLA benchmarks config file","Error path: If SLA benchmarks config is missing, use industry-standard defaults and flag for review. If ticket data is incomplete (missing severity or resolution time fields), calculate metrics on available data and note gaps. Decision logic entries here become config/scoring_rubric.yaml in Stage 5."
7,Assess product engagement,"Analyse usage trends across three core metrics: DAU/MAU ratio, feature adoption percentage, and API call volume. Compare each metric against tier-specific benchmarks and against the prior quarter. Produce an engagement assessment with a clear healthy/at-risk/critical rating.","Usage data from Step 3, tier-specific benchmark thresholds (from config)","Engagement assessment: rating (healthy / at-risk / critical), per-metric scores vs benchmarks, trend direction (improving / stable / declining), flagged degradation signals",Criteria-based,"Evaluate three metrics against tier-specific benchmarks — DAU/MAU ratio (enterprise: ≥40%, mid-market: ≥30%, SMB: ≥25%), feature adoption percentage (enterprise: ≥60%, mid-market: ≥45%, SMB: ≥35%), and API call volume floor (enterprise: 10K/month, mid-market: 2K, SMB: 500). A quarter-over-quarter decline of >15% in any single metric flags a degrading trend. Classify overall engagement as: Healthy (all metrics at or above tier benchmark with stable or improving trend), At-risk (any metric 10–25% below tier benchmark or declining for 2+ consecutive months), Critical (any metric >25% below benchmark or >15% QoQ decline). If account tier is missing from config, flag and request manual classification before proceeding.",AUTOMATE (quantitative) / HUMAN-IN-THE-LOOP (context),"Tier-specific benchmark comparisons and trend calculations are deterministic — the math produces the same result every time. But usage context matters: a drop in DAU/MAU during a customer's holiday season or a known company-wide event is expected, not alarming. A sudden spike in API errors might indicate a product issue, not a customer engagement problem. The human provides the contextual interpretation that numbers alone cannot convey.",15,"Mixpanel (output from Step 3), tier benchmarks config file","Error path: If benchmark config is missing for the account's tier, flag and request manual input before scoring. If usage data is partial (e.g. DAU/MAU available but feature adoption missing), score available metrics and note gaps. These tier-specific criteria become externalised config in Stage 5."
8,Identify risks and opportunities,"Synthesise findings from Steps 5-7 with the contract timeline from Step 1. Cross-reference sentiment, ticket health, and engagement signals to identify compound risk patterns and expansion opportunities. Produce a prioritised risk register and opportunity list.","All prior step outputs (sentiment summary, ticket health assessment, engagement assessment), contract renewal date and ARR from Step 1","Prioritised risk register (risk description, severity, evidence, recommended action) + opportunity list (opportunity description, evidence, recommended next step)",Contextual judgement,"Synthesise findings across all dimensions and match against known risk/opportunity patterns. Key patterns: declining usage + upcoming renewal within 90 days = high churn risk; high feature adoption + usage above tier ceiling = upsell opportunity; negative sentiment + open P1/P2 tickets = escalation risk requiring immediate attention; positive sentiment + feature requests in Slack = expansion signal. Weigh recency of signals — a sentiment shift in the last 30 days matters more than one from 60+ days ago. Cross-reference risk signals against account tier and ARR to prioritise by business impact (high-ARR accounts with red signals get top priority). The agent proposes a risk register and opportunity list; the human validates against relationship context and knowledge of ongoing conversations not captured in data.",HUMAN-IN-THE-LOOP,"Risk and opportunity identification requires synthesising multiple qualitative and quantitative signals and applying relationship context that exists only in the CSM's head. The agent can flag patterns (declining usage + upcoming renewal) and propose a risk register, but the CSM knows whether a flagged risk is already being actively managed, whether an opportunity is politically viable given the customer's budget cycle, or whether a ""negative"" signal is actually a positive sign of deepening engagement.",20,"All prior step outputs, Salesforce (contract renewal dates, ARR)","Error path: If one or more input assessments are missing (e.g. Slack sentiment unavailable due to API failure), generate a partial risk register and flag gaps explicitly — do not silently omit dimensions. If contract data is missing, flag that renewal timeline cannot be factored into risk assessment."
9,Assign overall health score,"Rate the account on the health framework using the Green/Amber/Red scoring rubric. Evaluate each of the four dimensions (tickets, usage, sentiment, contract) independently, then assign an overall score based on the most severe dimension. Provide a written justification referencing the specific criteria that drove the rating.",All prior step outputs (ticket health assessment from Step 6; engagement assessment from Step 7; sentiment summary from Step 5; contract data from Step 1; risk register from Step 8),"Overall health score (Green / Amber / Red) with per-dimension sub-scores and a written justification paragraph",Criteria-based,"Apply Green/Amber/Red rating across four dimensions — tickets, usage, sentiment, and contract. Green: SLA compliance ≥95%, no open P1s, CSAT ≥4.0; DAU/MAU and feature adoption at or above tier benchmark with stable or improving trend; neutral-to-positive sentiment with no unresolved escalations; no renewal within 90 days, or renewal approaching with no risk signals. Amber: SLA compliance 80–95%, or unresolved P2+ tickets open >7 days, or CSAT 3.5–4.0; metrics 10–25% below tier benchmark or declining for 2+ consecutive months; mixed sentiment with some concerns; renewal within 90 days with one or more amber signals in other dimensions. Red: SLA compliance <80%, or any open P1, or CSAT <3.5; any metric >25% below benchmark or >15% QoQ decline; negative tone or active escalation or executive complaint; renewal within 60 days with any red signal in another dimension. Assign the overall score as the most severe rating triggered by any single dimension. When dimensions conflict (e.g. green tickets but red sentiment), weight sentiment and contract risk more heavily — dissatisfied customers with upcoming renewals are the highest priority regardless of other metrics.",HUMAN-IN-THE-LOOP,"The scoring rubric itself is criteria-based and the quantitative scoring is automatable, but the final health score assignment is HIL because these scores drive account strategy decisions with significant business consequences — resource allocation, executive attention, renewal negotiation approach. The human validates that the rubric-derived score matches their holistic understanding of the account, catching cases where the rubric produces a technically correct but contextually misleading result (e.g. a Green score for an account the CSM knows is quietly evaluating competitors).",10,"All prior step outputs, health framework criteria config","Error path: If any dimension cannot be scored due to missing data, assign that dimension as ""Unable to score — insufficient data"" and note the gap in the justification. Do not default missing dimensions to Green. These criteria become the core of config/scoring_rubric.yaml in Stage 5."
10,Generate health report,"Write a structured report using the standard template with sections for each dimension: ticket health, product engagement, sentiment analysis, risk register, opportunity list, and overall health score. Each section includes metric summary, trend analysis, key findings, and recommended actions. Populate all sections from prior step outputs.","All prior step outputs (Steps 1-9), report template","Formatted health report document (Markdown or HTML) with all sections populated, per-dimension detail, and recommended actions",None,"None — template-based generation. Populate the standard report template with data and assessments from prior steps. Each section follows a fixed structure: metric summary, trend vs prior quarter, key findings, recommended actions. No new analysis or judgement — this step assembles and formats existing outputs into a coherent narrative document.",AUTOMATE (draft) / HUMAN-IN-THE-LOOP (review),"Report structure is template-based and all content has been validated in prior HIL steps. The agent generates a complete draft; the human reviews for narrative coherence, tone appropriateness, and any sensitive content that needs rewording or emphasis adjustment before it goes to the exec summary step.",15,"All prior step outputs, report template","Error path: If report template is missing or malformed, generate a plain-text structured report with standard section headers and flag for manual formatting. If any prior step output is missing, include the section with a placeholder noting ""data unavailable"" rather than omitting the section entirely. Output as Markdown or HTML."
