Responsibility Area,Workflow,Trigger,Frequency,Avg Time (hrs),Systems Touched,Output/Deliverable,Automation Potential,Rationale,Four Signals: Structural Repeatability,Four Signals: Determinism,Four Signals: Data Availability,Four Signals: Error Recoverability,Sub-Workflow Split Candidate?,Notes
Account Health,Quarterly Account Health Review,"Calendar — end of quarter",Quarterly,6-8,"Salesforce (account metadata, contract dates), Zendesk (ticket history, CSAT scores), Mixpanel (product usage metrics, DAU/MAU, feature adoption), Slack (sentiment from customer channels)",Health report with per-dimension scores (tickets/usage/sentiment) + executive summary + risk flags,"High","Strong across all four signals. Same steps every quarter for every account — only the data changes. Two CSMs using the same scoring rubric would produce near-identical assessments. All data sources have APIs. Report is reviewed internally before any client sees it.","Strong — identical sequence for every account: pull CRM data, pull tickets, pull usage, pull Slack threads, score each dimension, write narrative, compile report","Strong — output follows directly from data + scoring framework. Minimal subjective judgement in the scoring itself.","Strong — Salesforce API, Zendesk API, Mixpanel export API all available. Slack API for channel history.","Strong — report goes through internal review before reaching the client. Errors are catchable.",No — all steps are automatable with a single HIL review checkpoint before delivery,"This is the workflow selected in the worked example. The consistent structure across accounts is what makes it automatable — not the fact that it is simple."
Account Health,Escalation Triage,"Incoming alert — health score drop, support ticket escalation, or Slack flag from team member","Ad hoc (2-3x per week)",1-2,"Salesforce (account history, relationship context, contract status), Zendesk (escalated ticket details, ticket history for the account), Slack (recent conversation context, who raised the flag)",Triage assessment (severity rating + owner assignment + recommended action plan),"Medium","Three of four signals are strong but determinism is weak. The triage flow is structurally repeatable (assess severity, check history, identify owner, propose action) but the actual judgement calls — how severe is this really, who should own it, what is the right response — depend on relationship history, political dynamics, and sometimes information that only exists in someone's head.","Strong — same general flow every time: assess severity, check account history, identify owner, draft action plan","Weak — two CSMs might make very different severity assessments and recommend different responses based on their knowledge of the account relationship and internal politics","Strong — ticket data, account history, and contract status all accessible via API","Strong — triage recommendation is reviewed by the CSM before any action is taken",No — judgement is interleaved throughout every step rather than concentrated at the end,"An agent could prepare the initial data pack (pull ticket details, account history, recent interactions) but the CSM needs to be deeply involved at every decision point. This is a human-in-the-loop candidate, not a primarily automated workflow."
Commercial,Renewal Preparation,"Calendar — 90 days before contract renewal date",Per account cycle,4-6,"Salesforce (contract details, ARR, renewal date, account tier), Zendesk (ticket trends over contract period), Mixpanel (usage trajectory, feature adoption trends), Finance system (billing history, payment status)",Renewal brief (account health summary + usage trends + risk assessment + renewal recommendation) + risk register if applicable,"High","Strong across all four signals. Same preparation steps for every renewal. The brief follows a standard template. All key data has API access. The brief is reviewed by the account team before any renewal conversation.","Strong — identical sequence regardless of account: pull contract details, compile usage trajectory, assess health trends, draft renewal brief","Strong — the brief is data-driven and follows a template. Two CSMs would produce very similar briefs given the same data.","Strong — Salesforce, Zendesk, Mixpanel APIs cover all inputs. Finance system has a reporting API.","Strong — renewal brief is reviewed by account team and commercial lead before any client-facing conversation.",No — all steps are data gathering and structured analysis with a review checkpoint,"Shares CRM, Zendesk, and Mixpanel data sources with Quarterly Health Review. Automating one builds reusable data-retrieval tools for the other."
Commercial,"Upsell Opportunity Identification","Quarterly review cycle or ad hoc trigger from product usage spike",Quarterly,3-4,"Mixpanel (usage patterns, feature adoption by tier, expansion signals), Salesforce (current contract scope, account tier, whitespace analysis), Product roadmap (upcoming features relevant to account)",Opportunity brief (identified expansion areas + supporting evidence + recommended next steps),"Medium","Structural repeatability is strong but determinism is weak. Identifying that usage of Feature X exceeds the current tier threshold is mechanical. But deciding whether that signal represents a genuine upsell opportunity — versus a temporary spike, a workaround for a missing feature, or usage that the customer does not value enough to pay more for — requires relationship context and commercial judgement.","Strong — same data sources and analysis pattern each quarter: pull usage, identify signals above tier thresholds, cross-reference with contract scope, draft brief","Weak — the same usage signal could be interpreted as a strong opportunity by one CSM and noise by another, depending on their knowledge of the account's priorities and budget cycle","Strong — Mixpanel and Salesforce APIs cover the quantitative inputs. Product roadmap is typically a spreadsheet or Notion page with less structured access.","Strong — opportunity brief is reviewed internally before any commercial conversation",Yes — data gathering and signal identification (High) could split from opportunity qualification and narrative (Low),"The data gathering portion (pull usage, flag signals above thresholds) is highly automatable. The qualification portion (is this a real opportunity?) requires the CSM's commercial judgement and relationship context."
Delivery Coordination,Cross-team Standup Prep,"Weekly standup cadence — every Monday morning",Weekly,1,"Jira (ticket status, sprint progress, blockers), Slack (recent updates from engineering and product channels), Internal docs (project tracker, decision log)",Status summary (progress against milestones + active blockers + items needing discussion) + blockers list for escalation,"High","Strong across all four signals. Almost entirely data retrieval and reformatting. There is very little judgement involved — you are compiling facts, not interpreting them.","Strong — identical steps every week: pull Jira status, scan Slack channels, check project tracker, compile summary","Strong — two people pulling the same data would produce near-identical summaries. The output is factual, not interpretive.","Strong — Jira API, Slack API, project tracker is a shared spreadsheet or Notion page.","Strong — summary is shared in the standup meeting where errors are immediately visible and correctable.",No — all steps are data retrieval and reformatting,"Despite being only 1 hour per occurrence, this scores High because of weekly frequency. High frequency + low complexity = strong automation candidate. 52 hours/year of near-mechanical work."
Stakeholder Mgmt,Exec Business Review Prep,"Calendar — 6 weeks before scheduled EBR",Quarterly,8-12,"Salesforce (account overview, contract timeline, key stakeholders), Zendesk (ticket trends, CSAT trajectory), Mixpanel (usage analytics, adoption trends), Finance (revenue data, billing history), Google Slides (presentation deck)",EBR deck with data-backed narrative + talking points + appendix with supporting data,"Medium","High time cost but automation potential is only Medium. The data gathering portion (5-6 hours) is mechanical — same data sources, same metrics, same structure every time. But the narrative and deck creation portion (3-6 hours) requires deep relationship context, political sensitivity, and knowledge of what messaging will land with the specific executive sponsor.","Mixed — data gathering is identical each time, but narrative structure varies based on what story needs to be told to this specific executive","Weak overall — two CSMs would produce very different decks for the same exec because the narrative framing depends on relationship context and political dynamics","Strong for data, weak for narrative context — quantitative inputs have APIs, but the 'what story to tell' knowledge exists only in the CSM's head","Strong — deck is reviewed by account team and manager before the EBR",Yes — split into data gathering + initial analysis (High) and narrative + deck creation (Low),"Classic sub-workflow split candidate. The 5-6 hour data gathering portion becomes a strong automation target on its own. See the Sub-Workflow Pattern section in the methodology."
Stakeholder Mgmt,Internal Account Briefing,"Ad hoc — new stakeholder joining account, executive visit, or internal team transition",Ad hoc,2-3,"Salesforce (account history, key contacts, contract details), Internal docs (previous meeting notes, decision log), Slack (recent account-related conversations)",Briefing document (account overview + current status + key relationships + open issues + recent context),"High","Strong across all four signals. The brief follows a standard template regardless of the trigger. The content is factual — account history, status, relationships — not interpretive. All data sources are accessible. The brief is reviewed before the meeting.","Strong — same template every time: account overview, current status, key relationships, open issues, recent context","Strong — the brief is factual compilation. Two CSMs would produce very similar briefings given the same data.","Strong — Salesforce, internal docs, and Slack all have API access or structured search.","Strong — briefing is reviewed before the meeting or handover.",No — all steps are data retrieval and structured compilation,"Triggered ad hoc but the process is identical each time. Good automation candidate because it is time-sensitive (often needed quickly for an unexpected meeting) and the output is standardised."
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
