Dimension,What to Assess,How to Measure,Baseline Result,After Iteration Result,Target,Status,Notes
"Correctness","Does the agent retrieve the right data and produce accurate analysis? Are health scores, risk assessments, and trend analyses correct when compared to manual judgement?","Compare agent output against manually gathered data and manually produced analysis for the same account and period. Check: same data points surfaced, same health score reached, same risks identified, same trends detected.","3/5 test cases fully correct. TC1: correct Green score. TC2: correct Red score but sentiment underrated (Needs Attention vs Critical) — the other signals compensated. TC3: correct handling of missing data. TC4: correct Insufficient Data qualifier. TC5: incorrect blended score masked per-product divergence.","5/5 test cases fully correct. TC2 sentiment now correctly scored Critical after prompt fix. TC5 now produces per-product scores after scope/design/build cascade. All scores match manual assessment.","All test cases produce correct health scores and risk assessments matching manual analysis","Met","Correctness improved from 60% to 100% across two iteration cycles. TC2 was a prompt-level fix (stakeholder weighting); TC5 required a scope-level fix (per-product analysis). Both fixes confirmed via retest with no regression on other cases."
"Completeness","Does the agent cover all aspects the manual process covers? Are all sections of the report present? Are all data dimensions analysed?","Checklist comparison against a known-good manual report. Verify: all report sections present (exec summary, ticket analysis, usage analysis, sentiment analysis, synthesis, recommendations), all data sources consulted, all risk dimensions assessed.","4/5 test cases complete. TC1–TC4: all report sections present, all data dimensions covered. TC5: missing per-product breakdown — report had one blended paragraph for Product Engagement instead of separate product sections. The manually written report had distinct sub-sections for each product with per-product metrics and risk assessments.","5/5 test cases complete. TC5 now produces per-product report sections matching the structure of the manually written report. All report sections present across all test cases.","All report sections present and all data dimensions covered for every test case, including per-product analysis for multi-product accounts","Met","The completeness gap on TC5 was a structural issue — the schema could not hold per-product analysis, so the report could not include it. After the scope/design/build fix, per-product sections are generated for multi-product accounts while single-product accounts continue to produce the same output as before."
"Quality","Is the written output (report narrative, executive summary, recommendations) at professional standard? Would you send it to a stakeholder after a quick review rather than a rewrite?","Side-by-side blind comparison with a manually written report — have a colleague rate both without knowing which is which. Assess: narrative clarity, appropriate tone, actionable recommendations, executive summary that leads with the most important finding.","Passing test cases (TC1, TC3, TC4) produced reports at professional standard — comparable to manually written versions. TC1 exec summary was slightly generic (led with ""account remains healthy"" instead of the 15% usage increase). TC2 and TC5 had quality issues driven by underlying correctness/completeness failures rather than narrative quality per se.","Reports across all 5 test cases at professional standard. TC5 report now has per-product narrative sections comparable to the manually written version. TC2 sentiment section now matches the tone and severity of the manual report. TC1 exec summary remains slightly generic — a prompt improvement candidate for a future iteration.","Reports are at professional standard — a colleague rates them comparably to manually written reports in a blind comparison, and they require only minor wording edits (not substantive corrections) before sending to stakeholders","Partially Met","Quality is strong on substance but has a minor gap on narrative framing. The TC1 exec summary issue (generic lead instead of highlighting the most newsworthy metric) is a prompt improvement opportunity but not severe enough to block graduation. A future iteration could add prompt guidance to identify the single most significant data point for the headline."
"Robustness","How does the agent handle missing data, API failures, unusual inputs, and edge cases? Does it degrade gracefully or crash/hallucinate?","Run against edge case accounts: API failure (TC3), sparse data/new account (TC4), contradictory signals (TC5). Verify: no crashes, no hallucinated data, explicit flagging of gaps, appropriate caveats on low-confidence assessments.","2/2 dedicated robustness test cases passed. TC3 (API failure): agent detected Slack error, recorded Unknown sentiment, flagged gap explicitly, no hallucination. TC4 (sparse data): agent produced Insufficient Data qualifier, did not extrapolate trends from 3 weeks, included appropriate caveats.","Maintained — TC3 and TC4 continue to pass after both iteration cycles. No regression on robustness from the prompt fix (Iteration 1) or the scope/design/build fix (Iteration 2).","Agent handles all identified failure modes (API failures, missing data, sparse data, contradictory signals) without crashing, hallucinating, or silently omitting information","Met","Robustness was strong from the initial build. The error handling patterns established in Stage 5 (try/except with interrupt fallback, explicit Unknown/No Data markers) worked as designed. The per-product fix in Iteration 2 also handles the edge case where usage_data has no products key (falls back to single-product path)."
"Efficiency","Is the agent actually saving time when you account for both agent execution time and the human time spent reviewing and editing the output at each checkpoint?","Measure total time (agent execution time + human review/edit time at each HIL checkpoint) vs. manual process time for the same account. Target: total agent-assisted time < 50% of manual process time.","Total agent-assisted time approximately 1 hr 42 min vs. manual process average of 7 hrs. Agent execution: ~12 min. Human review at hil_review_analysis: ~15 min. Human review at hil_review_report: ~20 min. Additional verification and final review: ~55 min. Represents approximately 76% time savings.","Maintained after iterations. Per-product analysis in Iteration 2 added approximately 2 min to agent execution time (additional LLM calls) but reduced human review time at hil_review_analysis (previously required manual per-product annotation for multi-product accounts).","Total agent-assisted time (execution + human review) is less than 50% of the manual process time — targeting < 3.5 hrs against a 7 hr manual baseline","Met","The 76% time savings exceeds the 50% target significantly. The largest time saving is in data gathering (from 2.5 hrs manual to ~18 min agent-assisted). Human review time is the majority of the agent-assisted total — further prompt improvements could reduce review time at checkpoints."
"HIL Effectiveness","Are the human-in-the-loop checkpoints at the right places? Is the information surfaced at each checkpoint useful for the reviewer? Are checkpoints adding value or just adding delay?","Track the size of human edits at each checkpoint across all test cases. Categories: none, minor tweaks (wording), significant corrections (substance), complete rewrite. If edits are consistently none/minor, the checkpoint may be unnecessary. If edits are consistently significant/rewrite, the preceding node needs improvement.","hil_review_analysis — TC1: none, TC2: significant corrections (sentiment underrated), TC3: none, TC4: minor tweaks, TC5: complete rewrite (missing per-product breakdown). hil_review_report — TC1: minor tweaks, TC2: significant corrections, TC3: minor tweaks, TC4: minor tweaks, TC5: complete rewrite. Pattern: checkpoints caught real issues on TC2 and TC5 but were low-value on TC1/TC3/TC4.","After iterations — hil_review_analysis: all test cases none or minor tweaks. hil_review_report: all test cases minor tweaks only. Both checkpoints now function as quality assurance rather than error correction. Edits are wording preferences, not substantive corrections.","Both HIL checkpoints produce mostly none/minor edits (indicating the preceding nodes are doing their job), with occasional significant corrections caught before they reach the final output. Checkpoints should add value without requiring routine rewrites.","Met","After two iteration cycles, both checkpoints are functioning as designed — catching minor quality issues without requiring substantive rework. The shift from significant corrections/rewrites (baseline) to minor tweaks (post-iteration) demonstrates that the underlying fixes addressed root causes rather than just symptoms. Both checkpoints should be retained for now; consider removing hil_review_analysis after 2-3 more clean evaluation cycles."
"Trajectory","Did the agent take the correct path through the graph — right node sequence, no unnecessary loops, no skipped steps? Did it reach the right output via the right process, not just by coincidence?","Define expected node sequences for each test case and compare against actual execution order via traces (LangSmith or manual logging). Flag cases where the agent reached the correct output via an inefficient or incorrect path — e.g., unnecessary loops, skipped data sources, or hitting a HIL checkpoint that should have been automated.","4/5 test cases followed expected node sequence. TC1, TC3, TC4: correct sequence (fetch_data → analyse_health → hil_review_analysis → synthesise → generate_report → hil_review_report). TC2: correct sequence but sentiment analysis node produced wrong severity (path correct, output wrong). TC5: correct sequence but single-pass through analyse_health was structurally inadequate for multi-product account — the path itself was wrong for this input type.","5/5 test cases follow expected node sequence. TC5 now takes the per-product path: fetch_data → analyse_health (loops per product + rollup) → hil_review_analysis → synthesise → generate_report → hil_review_report. Single-product accounts (TC1–TC4) follow the original path unchanged. No unnecessary loops or skipped steps observed.","All test cases follow the expected node sequence for their input type. No unnecessary loops, no skipped steps, no cases where the agent reaches the right output via the wrong path.","Met","Trajectory evaluation was critical for diagnosing TC5. Output-only assessment would have scored TC5 as Partial (Amber score was coincidentally correct), but trajectory analysis revealed the single-pass through analyse_health was structurally wrong for multi-product inputs. This distinction drove the scope-level fix instead of a misleading prompt tweak."
,,,,,,,,
,,,,,,,,
,,,,,,,,
