Workflow Name,Impact Score (1-5),Impact Rationale,Feasibility Score (1-5),Feasibility Rationale,Risk Tolerance Score (1-5),Risk Tolerance Rationale,Complexity Score (1-5),Complexity Rationale,Learning Value Score (1-5),Learning Value Rationale,Weighted Score,Disqualifier Check,Ranking
Quarterly Account Health Review,5,"6-8 hours per account per quarter across a portfolio of multiple accounts. A CSM managing 10 accounts spends 60-80 hours per quarter on this workflow alone — easily exceeding 10 hrs/month saved. The combination of high per-occurrence cost and quarterly frequency across multiple accounts places this at the top of the anchor scale (Score 5: >10 hrs/month saved).",4,"Salesforce (account metadata) has a clean API. Zendesk (ticket history and CSAT) is exportable via API. Mixpanel (usage metrics) has an export API. Three of four data sources meet the clean-APIs-readily-available bar. However, Slack is the weak link — while the Slack API enables message retrieval and search, interpreting conversational context for customer sentiment is inherently noisy and requires LLM-assisted interpretation rather than straightforward data extraction. This gap drops Feasibility from 5 to 4 (Score 4: Most sources have clean APIs or structured exports; one requires workarounds such as LLM-assisted interpretation).",4,"The health report is an internal deliverable reviewed by the CSM before sharing with anyone — the client never sees the raw agent output. Errors in scoring or narrative are catchable during the internal review step before they cause any damage. No irreversible actions are triggered by the report itself (Score 4: Internal deliverable with a review step; errors are catchable before causing damage).",3,"The workflow touches four distinct data sources (Salesforce, Zendesk, Mixpanel, Slack), which adds integration complexity. The synthesis step — turning raw data into a health assessment with per-dimension scores — requires LLM interpretation rather than purely mechanical processing. However, the overall flow is linear (gather then analyse then score then report) with no conditional routing or dynamic branching paths (Score 3: Multiple data sources or processing steps, but the overall flow is linear with few branches).",5,"The core pattern — gather data from multiple sources, analyse against a scoring framework, synthesise into a structured report — is the same pattern used in renewal preparation, EBR prep, internal account briefings, and upsell opportunity identification. Building this teaches a reusable multi-source synthesis pattern that transfers directly to 3-4 other workflows on the inventory (Score 5: Patterns transfer to 3+ other workflows).","4.35 = (5 x 0.30) + (4 x 0.25) + (4 x 0.20) + (3 x 0.15) + (5 x 0.10)","None apply. (1) Relationship test: the workflow value comes from the data-driven report, not from relationship-building during the process. (2) Stakeholder perception: stakeholders expect analytical health assessments to be tool-assisted — no negative reaction to agent involvement. (3) Data access: all four data sources (Salesforce, Zendesk, Mixpanel, Slack) have APIs or structured exports. (4) Structural repeatability: the workflow follows the same structure every quarter for every account — confirmed as Strong in Stage 1.",1
Cross-team Standup Prep,2,"The workflow takes approximately 1 hour per week — almost entirely data retrieval and reformatting. While the weekly frequency yields roughly 52 hours per year, the per-occurrence savings from automation are approximately 30-40 minutes (the CSM still reviews and adjusts the compiled summary before the standup). Net savings of roughly 2 hours per month places this at the lower end of the scale. Despite high frequency, the low per-occurrence time cost limits aggregate impact compared to longer workflows on the inventory (Score 2: 1-2 hrs/month saved).",5,"All data sources have clean, well-documented APIs with no access uncertainty. Jira provides a robust REST API for ticket status, sprint progress, and blockers. Slack has comprehensive API coverage for channel history and message search. The project tracker is a shared spreadsheet or Notion page — both offer straightforward export or API access. There are zero integration gaps or workarounds needed. This is the most technically accessible workflow on the inventory (Score 5: Clean APIs or structured data sources readily available).",5,"The status summary is shared in an internal standup meeting where errors are immediately visible and correctable in real time by the team present. The output never reaches external stakeholders or clients. Even a completely inaccurate summary would be caught within minutes during the standup discussion and would cause zero lasting damage. This is the safest failure mode on the inventory (Score 5: Output is internal, reviewable, and easily corrected).",5,"The workflow is purely mechanical data retrieval and reformatting — pull Jira ticket status, scan Slack channels for updates, check the project tracker, compile into a standard summary template. There are no decision points, no synthesis requiring judgement, no conditional branches, and no ambiguity in the output format. Two people performing this task with the same data would produce near-identical summaries (Score 5: Linear or near-linear flow with few branches).",2,"The pattern here is basic multi-source data retrieval and template-based reformatting. While API integration skills are foundational, the workflow lacks the synthesis, scoring, and narrative generation steps that characterize the more complex workflows on the inventory (Health Review, Renewal Prep, EBR Prep). Building this teaches API data retrieval but not how to do anything analytically interesting with the data. The pattern transfers narrowly — at best to one other simple compilation task (Score 2: Mostly unique; patterns may apply to one other workflow at best).","3.80 = (2 x 0.30) + (5 x 0.25) + (5 x 0.20) + (5 x 0.15) + (2 x 0.10)","None apply. (1) Relationship test: the workflow value comes from the compiled status data, not from relationship-building during the compilation process. (2) Stakeholder perception: standup attendees expect pre-compiled status summaries — automation would be seen as efficient, not inappropriate. (3) Data access: Jira, Slack, and project tracker all have well-documented APIs or structured exports. (4) Structural repeatability: identical steps every Monday — confirmed as Strong in Stage 1.",2
Renewal Preparation,4,"4-6 hours per account per renewal cycle. With accounts renewing on staggered dates throughout the year, this translates to roughly 6-10 hrs/month saved across a portfolio. Significant time savings, but per-occurrence cost is lower than the health review and frequency is tied to individual renewal dates rather than a uniform quarterly cadence across all accounts (Score 4: 6-10 hrs/month saved).",3,"Salesforce (contract details, ARR, renewal dates) and Zendesk (ticket trends over contract period) have clean APIs. Mixpanel (usage trajectory and feature adoption) has an export API. However, the finance system — needed for billing history and payment status — has a reporting API whose structure and reliability for automated extraction are not fully confirmed. This uncertainty in a key data source creates risk in the data-gathering step (Score 3: Some sources have APIs, but at least one key source has no confirmed programmatic access).",3,"The renewal brief is reviewed by the account team and commercial lead before any client-facing conversation, which provides a review step. However, errors in the brief — incorrect contract terms, miscalculated usage trends, or a wrong risk assessment — could directly influence a commercial negotiation with real revenue implications. The stakes are higher than a purely internal document even with the review step (Score 3: Output is reviewed before external use, but errors carry commercial or reputational risk).",4,"The workflow follows an identical sequence regardless of account: pull contract details, compile usage trajectory, assess health trends, draft renewal brief. The template is standardised with a small number of well-defined decision points (e.g. whether to include a risk register based on identified concerns). No dynamic branching or conditional routing (Score 4: Straightforward flow with a small number of well-defined decision points).",4,"Shares the data gathering + analysis + structured output pattern with the quarterly health review, EBR prep, and internal briefings. Building this teaches the multi-source synthesis pattern applicable to 2-3 other workflows. Scores below the health review because some renewal-specific elements (contract term analysis, commercial risk framing) are more niche and transfer less broadly (Score 4: Core pattern transfers to 2-3 other workflows with minor adaptations).","3.55 = (4 x 0.30) + (3 x 0.25) + (3 x 0.20) + (4 x 0.15) + (4 x 0.10)","None apply. (1) Relationship test: the workflow value comes from the data-driven brief, not from relationship-building during the preparation process. (2) Stakeholder perception: stakeholders expect analytical renewal prep to be tool-assisted. (3) Data access: most sources have APIs — the finance system access is unconfirmed but does not meet the disqualifier threshold of no API and no export. (4) Structural repeatability: the workflow follows the same structure for every renewal — confirmed as Strong in Stage 1.",3
Exec Business Review Prep,5,"At 8-12 hours per EBR across a portfolio of accounts, this is one of the highest time-cost workflows on the inventory. During EBR season, a CSM preparing for multiple accounts could spend 30+ hours on EBR prep in a single month. Even averaged across the quarter, the monthly time investment consistently exceeds 10 hours. The per-occurrence cost alone (a full day or more) makes this the joint-most time-intensive workflow alongside the Quarterly Account Health Review (Score 5: >10 hrs/month saved).",3,"The data-gathering portion has solid API coverage — Salesforce, Zendesk, Mixpanel, and Finance data are accessible via the same integrations used in other workflows. However, the narrative and deck creation portion is the bottleneck. While Google Slides has an API for programmatic slide manipulation, generating a compelling executive narrative — with the right framing, political sensitivity, and storyline tailored to a specific executive sponsor — requires contextual knowledge that has no programmatic source. The knowledge of what story to tell exists only in the CSM's head (Score 3: Some sources have APIs, but at least one key source has no confirmed programmatic access).",2,"The EBR deck is presented directly to executive sponsors and key stakeholders at the client organization. While the deck goes through internal review before the meeting, errors — wrong revenue figures, mischaracterized relationship status, or tone-deaf messaging — could damage the executive relationship and are difficult to walk back once the meeting has occurred. The audience (C-level client stakeholders) and the stakes (strategic account relationship) are significantly higher than any internal deliverable (Score 2: Output reaches external stakeholders or triggers actions that are difficult to reverse).",2,"The data-gathering portion is straightforward, but the narrative creation involves significant ambiguity and subjective judgement. The deck structure varies based on the account's current situation — a growing account needs a different story than a struggling one, and a new executive sponsor requires different context than a long-standing one. The CSM must make multiple subjective decisions about emphasis, framing, and messaging for the specific executive audience. Two CSMs would produce very different decks for the same account (Score 2: Many conditional paths or significant ambiguity in decision logic).",3,"The data-gathering portion shares patterns with the Health Review and Renewal Prep workflows — the same multi-source retrieval and analysis pattern. However, the narrative and presentation creation portion is relatively unique to EBR Prep. Few other workflows require executive-level storytelling, political framing, and slide deck design. The transferable learning is limited to the data-gathering layer; the higher-value narrative skills do not transfer broadly (Score 3: Core pattern transfers to 1-2 other workflows).","3.25 = (5 x 0.30) + (3 x 0.25) + (2 x 0.20) + (2 x 0.15) + (3 x 0.10)","DISQUALIFIED — Disqualifier 1 applies: The workflow's value comes from the relationship built during the process, not the output. EBR preparation forces the CSM to engage deeply with the account relationship, executive sponsor priorities, and the political dynamics of the client organization. Understanding what story to tell, what to emphasize or downplay, and how the executive audience will receive specific messages IS the relationship work. The preparation process is inseparable from the relationship-building it enables — automating it removes the thing that makes it valuable. Despite scoring 3.25 on the weighted composite, this workflow is removed from ranking entirely.",Disqualified
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
